# PART 3

# What is each pokemon's primary type?
mysql> SELECT p.name, t.name FROM pokemons p JOIN types t ON p.primary_type = t.id;
+-------------+----------+
| name        | name     |
+-------------+----------+
| Smeargle    | Normal   |
| Wailord     | Water    |
| Vileplume   | Grass    |
| Armaldo     | Rock     |
| Cradily     | Rock     |
| Carvanha    | Water    |
| Numel       | Fire     |
| Sandslash   | Ground   |
| Ninetales   | Fire     |
| Weepinbell  | Grass    |
| Gloom       | Grass    |
| Ivysaur     | Grass    |
| Nidorino    | Poison   |
| Nidoking    | Poison   |
| Dugtrio     | Ground   |
| Rhyhorn     | Ground   |
| Persian     | Normal   |
| Wartortle   | Water    |
| Charmeleon  | Fire     |
| Charizard   | Fire     |
| Exeggutor   | Grass    |
| Cloyster    | Water    |
| Arcanine    | Fire     |
| Parasect    | Bug      |
| Dewgong     | Water    |
| Chansey     | Normal   |
| Kingler     | Water    |
| Tentacruel  | Water    |
| Blastoise   | Water    |
| Bellsprout  | Grass    |
| Victreebel  | Grass    |
| Rapidash    | Fire     |
| Magneton    | Electric |
| Quagsire    | Water    |
| Exeggcute   | Grass    |
| Horsea      | Water    |
| Electrode   | Electric |
| Starmie     | Water    |
| Seadra      | Water    |
| Butterfree  | Bug      |
| Bellossom   | Grass    |
| Dragonair   | Dragon   |
| Poliwhirl   | Water    |
| Flareon     | Fire     |
| Eevee       | Normal   |
| Vaporeon    | Water    |
| Jolteon     | Electric |
| Goldeen     | Water    |
| Seaking     | Water    |
| Golduck     | Water    |
| Staryu      | Water    |
| Pikachu     | Electric |
| Shellder    | Water    |
| Marill      | Water    |
| Skiploom    | Grass    |
| Dratini     | Dragon   |
| Bulbasaur   | Grass    |
| Venusaur    | Grass    |
| Charmander  | Fire     |
| Squirtle    | Water    |
| Nidoqueen   | Poison   |
| Pidgeot     | Normal   |
| Electabuzz  | Electric |
| Tangela     | Grass    |
| Tauros      | Normal   |
| Manectric   | Electric |
| Muk         | Poison   |
| Azumarill   | Water    |
| Zangoose    | Normal   |
| Wingull     | Water    |
| Roselia     | Grass    |
| Pelipper    | Water    |
| Camerupt    | Fire     |
| Mawile      | Steel    |
| Sableye     | Dark     |
| Swellow     | Normal   |
| Trapinch    | Ground   |
| Wailmer     | Water    |
| Shiftry     | Grass    |
| Cacturne    | Grass    |
| Lairon      | Steel    |
| Linoone     | Normal   |
| Milotic     | Water    |
| Delcatty    | Normal   |
| Nosepass    | Rock     |
| Medicham    | Fighting |
| Ludicolo    | Water    |
| Kecleon     | Normal   |
| Graveler    | Rock     |
| Loudred     | Normal   |
| Dodrio      | Normal   |
| Kadabra     | Psychic  |
| Claydol     | Ground   |
| Sharpedo    | Water    |
| Magcargo    | Fire     |
| Electrike   | Electric |
| Makuhita    | Fighting |
| Hariyama    | Fighting |
| Wigglytuff  | Normal   |
| Vigoroth    | Normal   |
| Skarmory    | Steel    |
| Spinda      | Normal   |
| Exploud     | Normal   |
| Slaking     | Normal   |
| Lanturn     | Water    |
| Slakoth     | Normal   |
| Absol       | Dark     |
| Tropius     | Grass    |
| Gardevoir   | Psychic  |
| Torkoal     | Fire     |
| Lunatone    | Rock     |
| Solrock     | Rock     |
| Dusclops    | Ghost    |
| Tyranitar   | Rock     |
| Clefairy    | Fairy    |
| Jigglypuff  | Normal   |
| Kingdra     | Water    |
| Paras       | Bug      |
| Lapras      | Water    |
| Rhydon      | Ground   |
| Slowbro     | Water    |
| Ursaring    | Normal   |
| Machoke     | Fighting |
| Kangaskhan  | Normal   |
| Machamp     | Fighting |
| Oddish      | Grass    |
| Girafarig   | Normal   |
| Ponyta      | Fire     |
| Vulpix      | Fire     |
| Raticate    | Normal   |
| Marowak     | Ground   |
| Nidorina    | Poison   |
| Onix        | Rock     |
| Aerodactyl  | Rock     |
| Sneasel     | Dark     |
| Gastly      | Ghost    |
| Haunter     | Ghost    |
| Gengar      | Ghost    |
| Grotle      | Grass    |
| Snover      | Grass    |
| Ambipom     | Normal   |
| Raichu      | Electric |
| Gastrodon   | Water    |
| Pachirisu   | Electric |
| Blissey     | Normal   |
| Sudowoodo   | Rock     |
| Misdreavus  | Ghost    |
| Drifblim    | Ghost    |
| Skorupi     | Poison   |
| Steelix     | Steel    |
| Lopunny     | Normal   |
| Hippopotas  | Ground   |
| Mightyena   | Dark     |
| Kirlia      | Psychic  |
| Flaaffy     | Electric |
| Ampharos    | Electric |
| Monferno    | Fire     |
| Gyarados    | Water    |
| Luxio       | Electric |
| Mothim      | Bug      |
| Salamence   | Dragon   |
| Honchkrow   | Dark     |
| Staravia    | Normal   |
| Metagross   | Steel    |
| Drapion     | Poison   |
| Floatzel    | Water    |
| Stantler    | Normal   |
| Carnivine   | Grass    |
| Primeape    | Fighting |
| Glameow     | Normal   |
| Purugly     | Normal   |
| Alakazam    | Psychic  |
| Yanma       | Bug      |
| Bibarel     | Normal   |
| Beautifly   | Bug      |
| Meowth      | Normal   |
| Hypno       | Psychic  |
| Dunsparce   | Normal   |
| Scyther     | Bug      |
| Rampardos   | Rock     |
| Pinsir      | Bug      |
| Lickitung   | Normal   |
| Miltank     | Normal   |
| Granbull    | Fairy    |
| Cherrim     | Grass    |
| Larvitar    | Rock     |
| Clefable    | Fairy    |
| Torterra    | Grass    |
| Glalie      | Ice      |
| Crobat      | Poison   |
| Aipom       | Normal   |
| Beedrill    | Bug      |
| Porygon2    | Normal   |
| Bronzor     | Steel    |
| Snorunt     | Ice      |
| Scizor      | Bug      |
| Swalot      | Poison   |
| Magnezone   | Electric |
| Magmar      | Fire     |
| Electivire  | Electric |
| Magmortar   | Fire     |
| Gligar      | Ground   |
| Buizel      | Water    |
| Gliscor     | Ground   |
| Probopass   | Rock     |
| Tyrogue     | Fighting |
| Hitmonchan  | Fighting |
| Piloswine   | Ice      |
| Staraptor   | Normal   |
| Jumpluff    | Grass    |
| Banette     | Ghost    |
| Ralts       | Psychic  |
| Roserade    | Grass    |
| Lickilicky  | Normal   |
| Abomasnow   | Grass    |
| Metang      | Steel    |
| Seviper     | Poison   |
| Luxray      | Electric |
| Buneary     | Normal   |
| Mamoswine   | Ice      |
| Vibrava     | Ground   |
| Flygon      | Ground   |
| Nuzleaf     | Grass    |
| Pupitar     | Rock     |
| Magnemite   | Electric |
| Mareep      | Electric |
| Growlithe   | Fire     |
| Slowking    | Water    |
| Drilbur     | Ground   |
| Zebstrika   | Electric |
| Swoobat     | Psychic  |
| Stoutland   | Normal   |
| Furret      | Normal   |
| Gabite      | Dragon   |
| Grumpig     | Psychic  |
| Vanillish   | Ice      |
| Gothorita   | Psychic  |
| Duosion     | Psychic  |
| Simisage    | Grass    |
| Simisear    | Fire     |
| Simipour    | Water    |
| Galvantula  | Bug      |
| Sawsbuck    | Normal   |
| Jellicent   | Water    |
| Fraxure     | Dragon   |
| Whimsicott  | Grass    |
